id,Pedigree,Range,Row,Rep,DTA (DAS),DTS  (DAS),PHT (in),FHT (in),EHT (in),Yield (t/ha),YieldMoist (t/ha)
CS17-G2FE-001,NILASQ4G31I11S3/LH123HT,3,255,1,68,69,98,75,44,10.23913768,10.84734246
CS17-G2FE-002,2369/LH123HT,3,257,1,68,69,92,76,46,8.555864366,9.07349416
CS17-G2FE-003,NILASQ4G31I06S2/LH123HT,3,259,1,68,69,100,75,46,9.955492178,10.54087512
CS17-G2FE-004,NILASQ4G31I08S2/LH123HT,3,261,1,69,69,94,80,49,10.31818643,10.9310867
CS17-G2FE-005,NILASQ4G31I03S2/LH123HT,3,263,1,69,69,96,81,42,10.62508156,11.25939893
CS17-G2FE-006,NILASQ4G31I07S3/LH123HT,3,265,1,68,69,95,79,47,10.43443459,11.04484901
CS17-G2FE-007,NILASQ4G31I12S2/LH123HT,3,267,1,68,69,93,84,44,10.90872707,11.56325069
CS17-G2FE-008,NILASQ4G31I05S3/LH123HT,3,269,1,70,70,95,80,47,10.31818643,10.91767306
CS17-G2FE-009,NILASQ4G31I09S2/LH123HT,3,271,1,67,69,95,82,46,10.79247891,11.44434464
CS17-G2FE-010,NILASQ4G31I04S2/LH123HT,3,273,1,70,70,98,80,48,10.43443459,11.03650146
CS17-G2FE-011,NILASQ4G31I02S3/LH123HT,3,275,1,69,70,98,81,52,10.16473886,10.76344198
CS17-G2FE-012,2369/LH123HT,3,277,1,68,69,97,80,49,11.34117021,12.00916514
CS17-G2FE-013,DKB 64-69,3,279,1,68,67,85,63,42,13.02909345,13.74569359
CS17-G2FE-014,NILASQ4G31I01S2/LH123HT,3,281,1,68,69,96,81,50,10.90872707,11.54470585
CS17-G2FE-015,NILASQ4G71I07S2/LH123HT,3,283,1,68,69,96,78,47,10.56928245,11.18230083
CS17-G2FE-016,NILASQ4G71I12S3/LH123HT,3,285,1,67,68,98,73,53,11.31792058,11.98115073
CS17-G2FE-017,NILASQ4G71I08S3/LH123HT,3,287,1,67,69,96,81,44,11.13657345,11.75910791
CS17-G2FE-018,2369/LH123HT,3,289,1,68,69,100,82,50,10.34608599,10.91408611
CS17-G2FE-019,NILASQ4G71I09S2/LH123HT,3,291,1,67,69,93,77,45,7.328283826,7.738667721
CS17-G2FE-020,NILASQ4G71I03S2/LH123HT,3,293,1,68,69,95,76,46,12.11305797,12.78291008
CS17-G2FE-021,NILASQ4G71I06S2/LH123HT,3,295,1,67,69,98,77,49,9.983391735,10.54346001
CS17-G2FE-022,NILASQ4G71I05S2/LH123HT,3,297,1,67,69,98,78,48,10.06244048,10.61688095
CS17-G2FE-023,NILASQ4G71I01S2/LH123HT,3,299,1,69,69,93,76,45,9.374251392,9.887960368
CS17-G2FE-024,NILASQ4G71I10S2/LH123HT,3,301,1,67,69,101,77,37,11.09937404,11.69652037
CS17-G2FE-025,NILASQ4G71I02S2/LH123HT,3,303,1,67,70,101,77,52,10.42978466,11.02115345
CS17-G2FE-026,2369/LH123HT,3,305,1,70,70,95,78,48,9.448650213,9.950373539
CS17-G2FE-027,NILASQ4G71I11S3/LH123HT,3,307,1,70,70,92,79,47,11.04357493,11.62336261
CS17-G2FE-028,NILASQ4G71I04S2/LH123HT,3,309,1,67,69,102,76,49,10.64368127,11.21418258
CS17-G2FE-029,NILASQ4G11I06S3/LH123HT,3,311,1,69,69,101,80,46,10.29028687,10.82846887
CS17-G2FE-030,NILASQ4G11I05S2/LH123HT,3,313,1,67,70,100,74,47,8.844159795,9.305824937
CS17-G2FE-031,NILASQ4G11I10S2/LH123HT,3,315,1,67,68,95,74,45,10.65298112,11.19095667
CS17-G2FE-032,NILASQ4G11I07S3/LH123HT,3,317,1,70,70,98,78,51,10.34143606,10.89987361
CS17-G2FE-033,NILASQ4G11I04S2/LH123HT,3,319,1,67,69,93,71,47,11.52716726,12.07355499
CS17-G2FE-034,2369/LH123HT,4,319,1,69,73,97,77,44,9.904342989,10.37479928
CS17-G2FE-035,NILASQ4G11I12S3/LH123HT,4,317,1,69,69,101,80,46,12.06655871,12.68798649
CS17-G2FE-036,2369/LH123HT,4,315,1,70,70,100,77,41,9.80204461,10.29018643
CS17-G2FE-037,NILASQ4G11I09S2/LH123HT,4,313,1,70,70,101,79,49,10.23448775,10.75747008
CS17-G2FE-038,NILASQ4G11I11S2/LH123HT,4,311,1,68,69,99,77,49,10.59718201,11.1556535
CS17-G2FE-039,NILASQ4G11I02S2/LH123HT,4,309,1,69,70,98,81,50,11.18772264,11.77507808
CS17-G2FE-040,NILASQ4G11I03S2/LH123HT,4,307,1,68,70,,81,45,11.08077434,11.67470384
CS17-G2FE-041,NILASQ4G11I01S3/LH123HT,4,305,1,69,69,101,77,48,11.2853711,11.88575284
CS17-G2FE-042,NILASQ4G11I08S3/LH123HT,4,303,1,68,69,104,78,47,12.0107596,12.66414492
CS17-G2FE-043,NILASQ4G21I12S2/LH123HT,4,301,1,67,70,97,81,48,10.61113178,11.15760507
CS17-G2FE-044,NILASQ4G21I03S2/LH123HT,4,299,1,68,69,97,80,52,10.19728834,10.74794192
CS17-G2FE-045,NILASQ4G21I06S2/LH123HT,4,297,1,68,69,101,80,50,11.10402397,11.7214077
