Barcode,Plot,Range,Row
CS17-G2FE-001,1,3,255
CS17-G2FE-002,2,3,257
CS17-G2FE-003,3,3,259
CS17-G2FE-004,4,3,261
CS17-G2FE-005,5,3,263
CS17-G2FE-006,6,3,265
CS17-G2FE-007,7,3,267
CS17-G2FE-008,8,3,269
CS17-G2FE-009,9,3,271
CS17-G2FE-010,10,3,273
CS17-G2FE-011,11,3,275
CS17-G2FE-012,12,3,277
CS17-G2FE-013,13,3,279
CS17-G2FE-014,14,3,281
CS17-G2FE-015,15,3,283
CS17-G2FE-016,16,3,285
CS17-G2FE-017,17,3,287
CS17-G2FE-018,18,3,289
CS17-G2FE-019,19,3,291
CS17-G2FE-020,20,3,293
CS17-G2FE-021,21,3,295
CS17-G2FE-022,22,3,297
CS17-G2FE-023,23,3,299
CS17-G2FE-024,24,3,301
CS17-G2FE-025,25,3,303
CS17-G2FE-026,26,3,305
CS17-G2FE-027,27,3,307
CS17-G2FE-028,28,3,309
CS17-G2FE-029,29,3,311
CS17-G2FE-030,30,3,313
CS17-G2FE-031,31,3,315
CS17-G2FE-032,32,3,317
CS17-G2FE-033,33,3,319
CS17-G2FE-034,34,4,319
CS17-G2FE-035,35,4,317
CS17-G2FE-036,36,4,315
CS17-G2FE-037,37,4,313
CS17-G2FE-038,38,4,311
CS17-G2FE-039,39,4,309
CS17-G2FE-040,40,4,307
CS17-G2FE-041,41,4,305
CS17-G2FE-042,42,4,303
CS17-G2FE-043,43,4,301
CS17-G2FE-044,44,4,299
CS17-G2FE-045,45,4,297
CS17-G2FE-046,46,4,295
CS17-G2FE-047,47,4,293
CS17-G2FE-048,48,4,291
CS17-G2FE-049,49,4,289
CS17-G2FE-050,50,4,287
CS17-G2FE-051,51,4,285
CS17-G2FE-052,52,4,283
CS17-G2FE-053,53,4,281
CS17-G2FE-054,54,4,279
CS17-G2FE-055,55,4,277
CS17-G2FE-056,56,4,275
CS17-G2FE-057,57,4,273
CS17-G2FE-058,58,4,271
CS17-G2FE-059,59,4,269
CS17-G2FE-060,60,4,267
CS17-G2FE-061,61,4,265
CS17-G2FE-062,62,4,263
CS17-G2FE-063,63,4,261
CS17-G2FE-064,64,4,259
CS17-G2FE-065,65,4,257
CS17-G2FE-066,66,4,255
CS17-G2FE-067,67,5,255
CS17-G2FE-068,68,5,257
CS17-G2FE-069,69,5,259
CS17-G2FE-070,70,5,261
CS17-G2FE-071,71,5,263
CS17-G2FE-072,72,5,265
CS17-G2FE-073,73,5,267
CS17-G2FE-074,74,5,269
CS17-G2FE-075,75,5,271
CS17-G2FE-076,76,5,273
CS17-G2FE-077,77,5,275
CS17-G2FE-078,78,5,277
CS17-G2FE-079,79,5,279
CS17-G2FE-080,80,5,281
CS17-G2FE-081,81,5,283
CS17-G2FE-082,82,5,285
CS17-G2FE-083,83,5,287
CS17-G2FE-084,84,5,289
CS17-G2FE-085,85,5,291
CS17-G2FE-086,86,5,293
CS17-G2FE-087,87,5,295
CS17-G2FE-088,88,5,297
CS17-G2FE-089,89,5,299
CS17-G2FE-090,90,5,301
CS17-G2FE-091,91,5,303
CS17-G2FE-092,92,5,305
CS17-G2FE-093,93,5,307
CS17-G2FE-094,94,5,309
CS17-G2FE-095,95,5,311
CS17-G2FE-096,96,5,313
CS17-G2FE-097,97,5,315
CS17-G2FE-098,98,5,317
CS17-G2FE-099,99,5,319
CS17-G2FE-100,100,6,319
CS17-G2FE-101,101,6,317
CS17-G2FE-102,102,6,315
CS17-G2FE-103,103,6,313
CS17-G2FE-104,104,6,311
CS17-G2FE-105,105,6,309
CS17-G2FE-106,106,6,307
CS17-G2FE-107,107,6,305
CS17-G2FE-108,108,6,303
CS17-G2FE-109,109,6,301
CS17-G2FE-110,110,6,299
CS17-G2FE-111,111,6,297
CS17-G2FE-112,112,6,295
CS17-G2FE-113,113,6,293
CS17-G2FE-114,114,6,291
CS17-G2FE-115,115,6,289
CS17-G2FE-116,116,6,287
CS17-G2FE-117,117,6,285
CS17-G2FE-118,118,6,283
CS17-G2FE-119,119,6,281
CS17-G2FE-120,120,6,279
CS17-G2FE-121,121,6,277
CS17-G2FE-122,122,6,275
CS17-G2FE-123,123,6,273
CS17-G2FE-124,124,6,271
CS17-G2FE-125,125,6,269
CS17-G2FE-126,126,6,267
CS17-G2FE-127,127,6,265
CS17-G2FE-128,128,6,263
CS17-G2FE-129,129,6,261
CS17-G2FE-130,130,6,259
CS17-G2FE-131,131,6,257
CS17-G2FE-132,132,6,255
CS17-G2FE-133,133,7,255
CS17-G2FE-134,134,7,257
CS17-G2FE-135,135,7,259
CS17-G2FE-136,136,7,261
CS17-G2FE-137,137,7,263
CS17-G2FE-138,138,7,265
CS17-G2FE-139,139,7,267
CS17-G2FE-140,140,7,269
CS17-G2FE-141,141,7,271
CS17-G2FE-142,142,7,273
CS17-G2FE-143,143,7,275
CS17-G2FE-144,144,7,277
CS17-G2FE-145,145,7,279
CS17-G2FE-146,146,7,281
CS17-G2FE-147,147,7,283
CS17-G2FE-148,148,7,285
CS17-G2FE-149,149,7,287
CS17-G2FE-150,150,7,289
CS17-G2FE-151,151,7,291
CS17-G2FE-152,152,7,293
CS17-G2FE-153,153,7,295
CS17-G2FE-154,154,7,297
CS17-G2FE-155,155,7,299
CS17-G2FE-156,156,7,301
CS17-G2FE-157,157,7,303
CS17-G2FE-158,158,7,305
CS17-G2FE-159,159,7,307
CS17-G2FE-160,160,7,309
CS17-G2FE-161,161,7,311
CS17-G2FE-162,162,7,313
CS17-G2FE-163,163,7,315
CS17-G2FE-164,164,7,317
CS17-G2FE-165,165,7,319
CS17-G2FE-166,166,8,319
CS17-G2FE-167,167,8,317
CS17-G2FE-168,168,8,315
CS17-G2FE-169,169,8,313
CS17-G2FE-170,170,8,311
CS17-G2FE-171,171,8,309
CS17-G2FE-172,172,8,307
CS17-G2FE-173,173,8,305
CS17-G2FE-174,174,8,303
CS17-G2FE-175,175,8,301
CS17-G2FE-176,176,8,299
CS17-G2FE-177,177,8,297
CS17-G2FE-178,178,8,295
CS17-G2FE-179,179,8,293
CS17-G2FE-180,180,8,291
CS17-G2FE-181,181,8,289
CS17-G2FE-182,182,8,287
CS17-G2FE-183,183,8,285
CS17-G2FE-184,184,8,283
CS17-G2FE-185,185,8,281
CS17-G2FE-186,186,8,279
CS17-G2FE-187,187,8,277
CS17-G2FE-188,188,8,275
CS17-G2FE-189,189,8,273
CS17-G2FE-190,190,8,271
CS17-G2FE-191,191,8,269
CS17-G2FE-192,192,8,267
CS17-G2FE-193,193,8,265
CS17-G2FE-194,194,8,263
CS17-G2FE-195,195,8,261
CS17-G2FE-196,196,8,259
CS17-G2FE-197,197,8,257
CS17-G2FE-198,198,8,255
CS17-G2FE-199,199,9,255
CS17-G2FE-200,200,9,257
CS17-G2FE-201,201,9,259
CS17-G2FE-202,202,9,261
CS17-G2FE-203,203,9,263
CS17-G2FE-204,204,9,265
CS17-G2FE-205,205,9,267
CS17-G2FE-206,206,9,269
CS17-G2FE-207,207,9,271
CS17-G2FE-208,208,9,273
CS17-G2FE-209,209,9,275
CS17-G2FE-210,210,9,277
CS17-G2FE-211,211,9,279
CS17-G2FE-212,212,9,281
CS17-G2FE-213,213,9,283
CS17-G2FE-214,214,9,285
CS17-G2FE-215,215,9,287
CS17-G2FE-216,216,9,289
CS17-G2FE-217,217,9,291
CS17-G2FE-218,218,9,293
CS17-G2FE-219,219,9,295
CS17-G2FE-220,220,9,297
CS17-G2FE-221,221,9,299
CS17-G2FE-222,222,9,301
CS17-G2FE-223,223,9,303
CS17-G2FE-224,224,9,305
CS17-G2FE-225,225,9,307
CS17-G2FE-226,226,9,309
CS17-G2FE-227,227,9,311
CS17-G2FE-228,228,9,313
CS17-G2FE-229,229,9,315
CS17-G2FE-230,230,9,317
CS17-G2FE-231,231,9,319
CS17-G2FE-232,232,10,319
CS17-G2FE-233,233,10,317
CS17-G2FE-234,234,10,315
CS17-G2FE-235,235,10,313
CS17-G2FE-236,236,10,311
CS17-G2FE-237,237,10,309
CS17-G2FE-238,238,10,307
CS17-G2FE-239,239,10,305
CS17-G2FE-240,240,10,303
CS17-G2FE-241,241,10,301
CS17-G2FE-242,242,10,299
CS17-G2FE-243,243,10,297
CS17-G2FE-244,244,10,295
CS17-G2FE-245,245,10,293
CS17-G2FE-246,246,10,291
CS17-G2FE-247,247,10,289
CS17-G2FE-248,248,10,287
CS17-G2FE-249,249,10,285
CS17-G2FE-250,250,10,283
CS17-G2FE-251,251,10,281
CS17-G2FE-252,252,10,279
CS17-G2FE-253,253,10,277
CS17-G2FE-254,254,10,275
CS17-G2FE-255,255,10,273
CS17-G2FE-256,256,10,271
CS17-G2FE-257,257,10,269
CS17-G2FE-258,258,10,267
CS17-G2FE-259,259,10,265
CS17-G2FE-260,260,10,263
CS17-G2FE-261,261,10,261
CS17-G2FE-262,262,10,259
CS17-G2FE-263,263,10,257
CS17-G2FE-264,264,10,255
CS17-G2FE-265,265,11,255
CS17-G2FE-266,266,11,257
CS17-G2FE-267,267,11,259
CS17-G2FE-268,268,11,261
CS17-G2FE-269,269,11,263
CS17-G2FE-270,270,11,265
CS17-G2FE-271,271,11,267
CS17-G2FE-272,272,11,269
CS17-G2FE-273,273,11,271
CS17-G2FE-274,274,11,273
CS17-G2FE-275,275,11,275
CS17-G2FE-276,276,11,277
CS17-G2FE-277,277,11,279
CS17-G2FE-278,278,11,281
CS17-G2FE-279,279,11,283
CS17-G2FE-280,280,11,285
CS17-G2FE-281,281,11,287
CS17-G2FE-282,282,11,289
CS17-G2FE-283,283,11,291
CS17-G2FE-284,284,11,293
CS17-G2FE-285,285,11,295
CS17-G2FE-286,286,11,297
CS17-G2FE-287,287,11,299
CS17-G2FE-288,288,11,301
CS17-G2FE-289,289,11,303
CS17-G2FE-290,290,11,305
